,span_class,small_class,title,ticket_ref,other,group,status,url,date_script_ran
0,"<span class=""sc-jnkmnc hyQiiZ"">Analysis into typing time in Zendesk</span>","<small class=""sc-cNWTVD lhMWWr""><span>PA-1194</span><span>·</span><span>Product Analytics</span></small>",Analysis into typing time in Zendesk,PA-1194,·,Product Analytics,On Hold (Action),https://justeattakeaway.atlassian.net/browse/PA-1194,2021_03_16_180333
1,"<span class=""sc-jnkmnc hyQiiZ"">Async SLA First Response Fix and Investigation</span>","<small class=""sc-cNWTVD lhMWWr""><span>BUS-4283</span><span>·</span><span>Business Intelligence</span></small>",Async SLA First Response Fix and Investigation,BUS-4283,·,Business Intelligence,Work in progress,https://justeattakeaway.atlassian.net/browse/BUS-4283,2021_03_16_180333
2,"<span class=""sc-jnkmnc hyQiiZ"">Ingest data for Offline Queries - Bad &amp; Incorrect Items view</span>","<small class=""sc-cNWTVD lhMWWr""><span>BUS-4197</span><span>·</span><span>Business Intelligence</span></small>",Ingest data for Offline Queries - Bad & Incorrect Items view,BUS-4197,·,Business Intelligence,Work in progress,https://justeattakeaway.atlassian.net/browse/BUS-4197,2021_03_16_180333
3,"<span class=""sc-jnkmnc hyQiiZ"">Async Dashboard: Phase 2</span>","<small class=""sc-cNWTVD lhMWWr""><span>BUS-4556</span><span>·</span><span>Business Intelligence</span></small>",Async Dashboard: Phase 2,BUS-4556,·,Business Intelligence,Open,https://justeattakeaway.atlassian.net/browse/BUS-4556,2021_03_16_180333
4,"<span class=""sc-jnkmnc hyQiiZ"">RMM Propensity</span>","<small class=""sc-cNWTVD lhMWWr""><span>BUS-4524</span><span>·</span><span>Business Intelligence</span></small>",RMM Propensity,BUS-4524,·,Business Intelligence,Open,https://justeattakeaway.atlassian.net/browse/BUS-4524,2021_03_16_180333
5,"<span class=""sc-jnkmnc hyQiiZ"">Investigate user-role data</span>","<small class=""sc-cNWTVD lhMWWr""><span>BUS-4467</span><span>·</span><span>Business Intelligence</span></small>",Investigate user-role data,BUS-4467,·,Business Intelligence,Open,https://justeattakeaway.atlassian.net/browse/BUS-4467,2021_03_16_180333
6,"<span class=""sc-jnkmnc hyQiiZ"">Zendesk API reopens on async report</span>","<small class=""sc-cNWTVD lhMWWr""><span>BUS-4466</span><span>·</span><span>Business Intelligence</span></small>",Zendesk API reopens on async report,BUS-4466,·,Business Intelligence,Open,https://justeattakeaway.atlassian.net/browse/BUS-4466,2021_03_16_180333
7,"<span class=""sc-jnkmnc hyQiiZ"">Scope work for Conversocial data reports</span>","<small class=""sc-cNWTVD lhMWWr""><span>BUS-4411</span><span>·</span><span>Business Intelligence</span></small>",Scope work for Conversocial data reports,BUS-4411,·,Business Intelligence,Open,https://justeattakeaway.atlassian.net/browse/BUS-4411,2021_03_16_180333
8,"<span class=""sc-jnkmnc hyQiiZ"">BOH Menu Typing: Create Delivery queue</span>","<small class=""sc-cNWTVD lhMWWr""><span>BUS-4039</span><span>·</span><span>Business Intelligence</span></small>",BOH Menu Typing: Create Delivery queue,BUS-4039,·,Business Intelligence,Open,https://justeattakeaway.atlassian.net/browse/BUS-4039,2021_03_16_180333
9,"<span class=""sc-jnkmnc hyQiiZ"">BOH Menu Typing: Create Creations queue</span>","<small class=""sc-cNWTVD lhMWWr""><span>BUS-4038</span><span>·</span><span>Business Intelligence</span></small>",BOH Menu Typing: Create Creations queue,BUS-4038,·,Business Intelligence,Open,https://justeattakeaway.atlassian.net/browse/BUS-4038,2021_03_16_180333
10,"<span class=""sc-jnkmnc hyQiiZ"">Device Support Dashboard: Report to identify/incorporate amount of calls made (liveops)</span>","<small class=""sc-cNWTVD lhMWWr""><span>BUS-3999</span><span>·</span><span>Business Intelligence</span></small>",Device Support Dashboard: Report to identify/incorporate amount of calls made (liveops),BUS-3999,·,Business Intelligence,Open,https://justeattakeaway.atlassian.net/browse/BUS-3999,2021_03_16_180333
11,"<span class=""sc-jnkmnc hyQiiZ"">Device Support Dashboard: Time spent on ticket </span>","<small class=""sc-cNWTVD lhMWWr""><span>BUS-3997</span><span>·</span><span>Business Intelligence</span></small>",Device Support Dashboard: Time spent on ticket ,BUS-3997,·,Business Intelligence,Open,https://justeattakeaway.atlassian.net/browse/BUS-3997,2021_03_16_180333
